image_id,points
img_00059.png,"[(340.0, 140.0)]"
img_00060.png,"[(340.0, 140.0)]"
img_00061.png,"[(125.0, 175.0), (340.0, 140.0)]"
img_00062.png,"[(225.0, 275.0)]"
img_00063.png,"[(125.0, 175.0), (225.0, 275.0), (340.0, 140.0)]"
img_00064.png,"[(125.0, 175.0), (225.0, 275.0)]"
img_00065.png,"[(125.0, 175.0), (225.0, 275.0)]"
img_00066.png,"[(340.0, 140.0)]"
img_00067.png,[]
img_00068.png,"[(225.0, 275.0), (340.0, 140.0)]"
img_00069.png,"[(125.0, 175.0)]"
img_00070.png,"[(225.0, 275.0), (340.0, 140.0)]"
img_00071.png,"[(225.0, 275.0)]"
img_00072.png,[]
img_00073.png,"[(340.0, 140.0)]"
img_00074.png,"[(225.0, 275.0), (340.0, 140.0)]"
img_00075.png,"[(340.0, 140.0)]"
img_00076.png,[]
img_00077.png,"[(125.0, 175.0), (340.0, 140.0)]"
img_00078.png,"[(225.0, 275.0)]"
img_00079.png,"[(340.0, 140.0)]"
img_00080.png,"[(340.0, 140.0)]"
img_00081.png,[]
img_00082.png,[]
img_00083.png,"[(125.0, 175.0), (340.0, 140.0)]"
img_00084.png,"[(225.0, 275.0)]"
img_00085.png,[]
img_00086.png,[]
img_00087.png,[]
img_00088.png,"[(125.0, 175.0), (225.0, 275.0)]"
img_00089.png,"[(225.0, 275.0)]"
img_00090.png,"[(340.0, 140.0)]"
img_00091.png,[]
img_00092.png,"[(125.0, 175.0)]"
img_00093.png,"[(340.0, 140.0)]"
img_00094.png,"[(125.0, 175.0), (225.0, 275.0)]"
img_00095.png,"[(225.0, 275.0), (340.0, 140.0)]"
img_00096.png,"[(340.0, 140.0)]"
img_00097.png,[]
img_00098.png,[]
img_00099.png,[]
img_00100.png,"[(340.0, 140.0)]"
img_00101.png,"[(125.0, 175.0), (340.0, 140.0)]"
img_00102.png,[]
img_00103.png,[]
img_00104.png,[]
img_00105.png,"[(225.0, 275.0)]"
img_00106.png,"[(225.0, 275.0), (340.0, 140.0)]"
img_00107.png,[]
img_00108.png,[]
img_00109.png,"[(340.0, 140.0)]"
img_00110.png,"[(125.0, 175.0), (225.0, 275.0)]"
img_00111.png,"[(125.0, 175.0), (225.0, 275.0)]"
img_00112.png,"[(125.0, 175.0), (340.0, 140.0)]"
img_00113.png,"[(340.0, 140.0)]"
img_00114.png,[]
img_00115.png,"[(125.0, 175.0), (340.0, 140.0)]"
img_00116.png,"[(125.0, 175.0)]"
img_00117.png,"[(225.0, 275.0), (340.0, 140.0)]"
img_00118.png,"[(340.0, 140.0)]"
img_00119.png,[]
img_00120.png,"[(125.0, 175.0)]"
img_00121.png,"[(340.0, 140.0)]"
img_00122.png,"[(225.0, 275.0)]"
img_00123.png,"[(225.0, 275.0)]"
img_00124.png,"[(225.0, 275.0)]"
img_00125.png,[]
img_00126.png,"[(340.0, 140.0)]"
img_00127.png,"[(125.0, 175.0)]"
img_00128.png,"[(340.0, 140.0)]"
img_00129.png,[]
img_00130.png,[]
img_00131.png,"[(340.0, 140.0)]"
img_00132.png,"[(340.0, 140.0)]"
img_00133.png,"[(340.0, 140.0)]"
img_00134.png,"[(125.0, 175.0)]"
img_00135.png,"[(340.0, 140.0)]"
img_00136.png,[]
img_00137.png,"[(125.0, 175.0)]"
img_00138.png,"[(125.0, 175.0)]"
img_00139.png,[]
img_00140.png,[]
img_00141.png,[]
img_00142.png,"[(340.0, 140.0)]"
img_00143.png,"[(125.0, 175.0)]"
img_00144.png,"[(225.0, 275.0)]"
img_00145.png,[]
img_00146.png,"[(125.0, 175.0), (225.0, 275.0)]"
img_00147.png,"[(340.0, 140.0)]"
img_00148.png,[]
img_00149.png,[]
img_00150.png,"[(125.0, 175.0), (340.0, 140.0)]"
img_00151.png,[]
img_00152.png,[]
img_00153.png,"[(340.0, 140.0)]"
img_00154.png,[]
img_00155.png,"[(225.0, 275.0)]"
img_00156.png,"[(340.0, 140.0)]"
img_00157.png,"[(125.0, 175.0)]"
img_00158.png,"[(125.0, 175.0)]"
img_00159.png,"[(125.0, 175.0), (225.0, 275.0), (340.0, 140.0)]"
img_00160.png,"[(225.0, 275.0)]"
img_00161.png,"[(225.0, 275.0)]"
img_00162.png,"[(225.0, 275.0)]"
img_00163.png,[]
img_00164.png,[]
img_00165.png,[]
img_00166.png,"[(340.0, 140.0)]"
img_00167.png,"[(225.0, 275.0), (340.0, 140.0)]"
img_00168.png,[]
img_00169.png,"[(225.0, 275.0), (340.0, 140.0)]"
img_00170.png,[]
img_00171.png,[]
img_00172.png,[]
img_00173.png,"[(340.0, 140.0)]"
img_00174.png,[]
img_00175.png,[]
img_00176.png,"[(225.0, 275.0), (340.0, 140.0)]"
img_00177.png,"[(225.0, 275.0)]"
img_00178.png,"[(225.0, 275.0)]"
img_00179.png,"[(125.0, 175.0), (225.0, 275.0), (340.0, 140.0)]"
img_00180.png,"[(125.0, 175.0)]"
img_00181.png,[]
img_00182.png,[]
img_00183.png,[]
img_00184.png,"[(340.0, 140.0)]"
img_00185.png,"[(125.0, 175.0), (340.0, 140.0)]"
img_00186.png,[]
img_00187.png,"[(340.0, 140.0)]"
img_00188.png,"[(340.0, 140.0)]"
img_00189.png,[]
img_00190.png,[]
img_00191.png,"[(340.0, 140.0)]"
img_00192.png,"[(125.0, 175.0), (225.0, 275.0)]"
img_00193.png,[]
img_00194.png,[]
img_00195.png,"[(225.0, 275.0)]"
img_00196.png,[]
img_00197.png,[]
img_00198.png,"[(125.0, 175.0)]"
img_00199.png,[]
